Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-03-14,BPCL,EQ,389.05,388.95,391.35,382.65,390.9,390.3,388.2,2047865,79498808290000.0,35975,589609,0.2879
2019-03-15,BPCL,EQ,390.3,391.0,398.3,389.4,396.0,396.3,395.2,8629091,341018155525000.0,64591,5252656,0.6087
2019-03-18,BPCL,EQ,396.3,398.0,408.9,398.0,406.6,405.55,404.74,7393221,299235033725000.0,71986,2359053,0.3191
2019-03-19,BPCL,EQ,405.55,408.0,409.9,402.55,409.2,407.8,406.32,4222676,171575436810000.0,59977,1258063,0.2979
2019-03-20,BPCL,EQ,407.8,407.2,407.5,386.5,387.5,389.15,393.29,5286335,207905864380000.0,61241,1577295,0.2984
2019-03-22,BPCL,EQ,389.15,389.5,394.7,376.45,377.0,378.95,382.81,5918848,226577413900000.0,69901,2426405,0.40990000000000004
2019-03-25,BPCL,EQ,378.95,378.75,385.25,375.05,383.95,383.7,382.3,4164765,159216934585000.0,52030,1133410,0.2721
2019-03-26,BPCL,EQ,383.7,384.25,388.4,376.5,384.4,383.9,382.61,4257821,162909085075000.0,45548,1411880,0.33159999999999995
2019-03-27,BPCL,EQ,383.9,384.45,386.0,377.3,379.0,378.95,380.03,3310956,125826588665000.02,60841,1224432,0.36979999999999996
2019-03-28,BPCL,EQ,378.95,379.55,389.05,378.35,387.3,385.85,384.58,5584974,214784485590000.0,63058,2728752,0.4886
2019-03-29,BPCL,EQ,385.85,387.9,398.9,387.0,397.8,397.55,393.64,4551656,179172959430000.0,72057,1502402,0.3301
2019-04-01,BPCL,EQ,397.55,398.0,399.5,390.5,391.4,391.9,393.65,2630426,103545600060000.0,47635,522622,0.19870000000000002
2019-04-02,BPCL,EQ,391.9,387.9,391.35,378.05,382.4,380.5,384.63,5408395,208022711025000.0,70800,1902118,0.3517
2019-04-03,BPCL,EQ,380.5,382.0,382.0,362.15,363.0,363.2,367.57,8289954,304713882720000.0,117942,3711107,0.44770000000000004
2019-04-04,BPCL,EQ,363.2,363.0,363.0,353.5,353.9,354.3,357.21,10199796,364350227870000.0,96939,5241716,0.5139
2019-04-05,BPCL,EQ,354.3,353.6,359.5,353.6,358.25,358.1,357.59,4544024,162488383605000.0,42050,1849132,0.4069
2019-04-08,BPCL,EQ,358.1,354.85,354.85,349.0,350.3,351.0,351.36,3959107,139105356545000.0,48486,1163302,0.2938
2019-04-09,BPCL,EQ,351.0,346.5,357.4,345.05,355.6,356.3,353.28,4946892,174763480955000.0,72086,817768,0.1653
2019-04-10,BPCL,EQ,356.3,356.0,360.0,353.1,359.0,357.75,357.27,4116880,147081960965000.0,41259,1691125,0.4108
2019-04-11,BPCL,EQ,357.75,358.5,364.0,356.0,361.05,361.7,362.02,6301405,228123118935000.0,88686,2411098,0.3826
2019-04-12,BPCL,EQ,361.7,363.9,367.8,358.15,360.1,361.15,363.53,5118046,186055800905000.0,55899,1280766,0.2502
2019-04-15,BPCL,EQ,361.15,361.9,363.0,356.7,358.5,358.4,358.96,2239031,80372032145000.0,32549,773058,0.3453
2019-04-16,BPCL,EQ,358.4,360.1,361.95,355.25,357.3,357.5,358.4,4265946,152891911420000.0,61384,1478177,0.3465
